Title,Num_Of_Prev_Drops,Whitepaper,Requirement_Count,Guide_Length,Social_Media_Count,is_scam
SynFutures,0,1,0,15,5,0
Orderly Network,0,1,0,8,4,0
StarryNift,0,1,0,12,5,0
Wormhole,0,1,0,11,9,0
Hava Coin,0,1,0,6,4,0
Battle Showdown Gambit,0,1,1,13,6,0
Ethena,0,1,0,16,8,0
Nibiru Chain,0,1,0,7,9,0
Data Ownership Protocol,0,1,0,7,4,0
Pryzm,0,1,0,8,5,0
COTI,0,1,0,12,11,0
A51,0,1,0,9,6,0
ZKE Exchange,0,0,1,10,4,0
Sharpe,0,1,1,11,5,0
Aries Markets,0,1,0,16,4,0
Elys Network,0,1,0,9,6,0
Haven1,0,1,0,13,6,0
Helix,0,0,0,9,4,0
Kelp DAO,0,1,0,13,4,0
mySwap,0,0,0,6,4,0
Braavos,0,1,0,7,5,0
Tortuga Finance,0,1,0,11,3,0
BNB Chain,0,1,0,25,9,0
Aptin Finance,0,1,0,10,5,0
UniRouter,0,1,2,5,4,0
Aptos,0,1,0,10,9,0
beoble,0,1,0,10,6,0
Param Gaming,0,0,1,9,3,0
XYRO,0,0,0,9,4,0
Plena,0,0,1,7,7,0
Polyhedra Network,0,1,0,7,4,0
etherfi,0,1,0,12,6,0
DFlow,0,1,0,10,3,0
zkLend,0,1,0,16,5,0
Defispot,0,1,0,12,3,0
CyberConnect,1,1,0,29,8,0
Boson Protocol,0,1,0,10,9,0
Metis,0,1,0,7,12,0
DistrictOne,0,1,0,16,3,0
Layer3,0,1,0,8,3,0
Entangle,0,1,0,11,3,0
Panther Protocol,0,1,0,12,8,0
Memecoin,0,1,1,6,6,0
Teller,0,1,0,10,5,0
Gomble Games,0,1,0,7,4,0
Parallel Network,0,1,0,14,4,0
Ouinex,0,1,2,8,5,0
Mocaverse,0,0,0,11,4,0
Venom,0,1,0,3,5,0
SYNTHR,0,1,0,13,4,0
Wen Exchange,0,1,0,8,3,0
YOLO Games,0,1,0,14,3,0
Aark Digital,1,1,2,27,5,0
Lava,0,1,1,12,4,0
Blast,0,0,0,19,3,0
InvArch,0,0,0,9,6,0
KiloEx,0,1,0,9,5,0
Avantis,0,1,0,11,4,0
Zircuit,0,1,0,20,3,0
Hana Network,0,0,0,9,4,0
tea,0,1,0,10,6,0
MetaStreet,0,1,0,15,5,0
NuLink,0,1,1,9,5,0
Ambit Finance,0,1,0,14,5,0
Smart Layer,0,1,1,9,8,0
MON Protocol,0,0,1,10,2,0
Rio Network,0,1,0,10,4,0
Optimism,1,1,0,21,8,0
Blaster,0,0,0,8,3,0
StarkNet,0,1,0,16,8,0
AltLayer,0,1,0,9,8,0
Pixels,1,1,0,22,7,0
Kinetix Finance,0,1,0,9,6,0
Aftermath Finance,0,1,0,10,4,0
AVNU,0,1,0,10,5,0
Bluefin,0,1,0,13,5,0
Overlay Protocol,0,1,0,9,4,0
ClayStack,0,1,0,10,4,0
Retro Bridge,0,1,0,13,5,0
Dymension,0,1,0,20,6,0
INIT Capital,0,1,0,12,4,0
B Network,0,1,0,13,6,0
Pike,0,1,0,12,4,0
ZetaChain,1,1,0,22,9,0
Partisia Blockchain,0,1,0,8,8,0
Jupiter,0,1,0,13,6,0
Aether,0,0,0,9,3,0
Nostra,0,1,0,14,4,0
edeXa,1,1,0,23,4,0
Undeads,0,1,0,9,7,0
Aether Games,0,1,0,17,6,0
Dmail Network,0,1,0,15,6,0
Presearch,1,1,0,17,10,0
Bitcoin Virtual Machine,0,1,0,10,2,0
StackingDAO,0,1,0,10,5,0
NAVI Protocol,0,1,0,9,5,0
Mind Network,0,1,0,12,8,0
XION,0,1,0,13,4,0
Ready To Fight,0,0,0,28,5,0
BRC20 DEX,0,1,0,14,5,0
Web3Go,0,1,0,8,6,0
Berachain,0,1,0,19,6,0
Synonym,0,1,0,13,2,0
eesee,0,1,1,9,5,0
Unigraph Protocol,0,0,0,14,5,0
Virtual Labs,0,1,0,15,4,0
Manta Network,1,1,0,33,6,0
Soundxyz,0,1,0,10,4,0
Reveel,0,1,0,8,4,0
Rainfi,0,1,0,9,3,0
CARV,0,1,0,14,7,0
Swell,0,1,0,12,5,0
Frame,0,1,1,8,3,0
TeleportDAO,0,1,0,14,3,0
Seamless Protocol,0,1,0,31,8,0
BRC20,0,1,0,14,4,0
Kinza Finance,0,1,0,10,6,0
Elusiv,0,1,0,9,5,0
Phoenix,0,1,0,7,3,0
Marinade,0,0,0,9,7,0
Jito,0,1,0,8,7,0
Term Structure,0,1,0,9,5,0
Affine,0,1,0,7,6,0
NovaDEX,0,1,0,10,5,0
Futureverse,0,1,0,7,3,0
Script Network,1,1,2,24,5,0
Hinkal,0,1,0,11,5,0
Patex,0,0,0,12,6,0
Pyth Network,0,1,0,26,9,0
Meuna,0,1,0,11,4,0
Satori,0,1,0,10,4,0
marginfi,0,1,0,10,6,0
Scroll Name Service,0,0,0,8,2,0
Aori,0,1,0,8,5,0
GRVT,0,0,1,6,5,0
ShanHai,0,1,1,7,5,0
Tezos Domains,1,1,0,16,6,0
Derivio,0,1,0,8,4,0
Celestia,0,1,0,23,7,0
Base,0,1,0,12,4,0
BlueLight,0,1,1,9,9,0
Forcefi,0,1,0,5,3,0
Verida,0,1,1,8,9,0
Xai,0,1,0,10,4,0
Omni,0,1,0,10,5,0
Mangrove,0,1,0,7,5,0
Altitude,0,1,0,10,5,0
Ambient,0,1,0,10,5,0
Connext,1,1,0,15,9,0
Clipper,1,1,0,14,6,0
MoonlandMeta,0,0,0,7,6,0
Basilisk,0,1,0,10,5,0
Lightlink,0,1,0,10,3,0
Extra Finance,0,1,0,12,7,0
Hord,1,1,0,13,7,0
Chainflip,0,1,0,8,4,0
Web3Eco,0,0,0,11,5,0
Hubble Exchange,0,1,0,9,5,0
HMX,0,1,0,14,7,0
MELD,0,1,2,10,11,0
Worldcoin,0,1,2,14,7,0
DX25,0,1,1,12,6,0
Tsunami Finance,0,1,0,6,3,0
TapiocaDAO,0,1,0,11,3,0
Archway,0,1,0,11,7,0
zkSync id,0,1,0,8,6,0
Polygon zkEVM,0,0,0,12,8,0
Diva,0,1,0,10,5,0
Vela Exchange,1,1,0,16,9,0
Letit,0,1,4,12,7,0
WhiteBIT,3,0,9,30,6,0
Maverick Protocol,1,1,0,25,9,0
Tevaera,0,0,0,17,6,0
Velar,0,1,0,9,5,0
LunaFi,0,1,0,16,6,0
DBOE,0,0,1,8,5,0
Range Protocol,0,0,0,7,4,0
Cedro Finance,0,1,0,10,5,0
DigiFinex,0,0,0,9,6,0
BYDFi,0,0,0,8,7,0
Magic Square,0,1,0,6,8,0
StarkNet ID,0,1,0,12,3,0
MUFEX,0,1,0,11,6,0
Foxify,0,1,0,5,4,0
PulseChain,0,0,0,7,3,0
Housebetsio,0,1,0,11,4,0
DexCheck,0,1,1,7,5,0
Rebel Bots,0,1,1,11,11,0
Cashmere,0,1,0,12,7,0
5ireChain,0,1,0,9,6,0
EtherMail,0,0,1,10,3,0
zkSync Name Service,0,0,0,11,3,0
Yum Yum,0,1,1,9,6,0
ZKX,0,0,0,8,4,0
Increment,0,1,0,17,5,0
The Lost Wallet,0,0,0,11,3,0
Sui,0,1,0,10,5,0
Linea,0,1,0,21,3,0
Polynomial Protocol,0,1,0,8,3,0
LimeWire,1,0,3,11,4,0
SyncSwap,0,1,0,16,4,0
SPACE ID,2,1,0,40,7,0
Daoversal,0,0,3,6,6,0
VelvetCapital,0,1,0,7,6,0
Huma Finance,0,1,0,12,4,0
SnowCone,0,1,0,11,6,0
Arbitrum,1,0,0,23,7,0
Quasar,0,1,0,7,4,0
Dune Analytics,0,1,1,8,4,0
Legends of Elysium,0,1,1,11,7,0
Tide Exchange,0,1,0,9,4,0
AlienSwap,0,0,0,6,4,0
ZigZag,0,0,0,18,7,0
CollabLand,0,0,0,14,4,0
Nexon Finance,0,1,0,9,5,0
EZ Finance,0,0,0,9,2,0
Olive,0,1,0,6,5,0
Enchanter Finance,0,0,0,7,4,0
Mayan,0,1,0,6,5,0
Biokript,0,1,1,6,4,0
Sudoswap,1,0,0,14,3,0
Timeless,0,1,0,6,7,0
SupraOracles,0,1,2,8,6,0
IPOR,0,1,0,10,9,0
Neptune Mutual,0,1,0,7,7,0
NFT3,0,0,0,8,6,0
Demex,0,1,0,7,4,0
Taiko,0,1,0,10,5,0
Specular,0,1,0,7,2,0
Hashstack,0,1,0,8,5,0
Brine,0,0,0,15,5,0
V2X,0,0,0,9,4,0
Supernova,0,1,0,9,5,0
Bebop,0,0,0,7,4,0
nftperp,0,0,0,7,4,0
KwikTrust,0,1,3,9,5,0
Phi,0,1,0,7,4,0
Plenty,0,1,0,7,5,0
Swing,0,1,0,8,5,0
Spectrum Finance,0,1,0,8,7,0
Harbor Protocol,1,0,0,21,2,0
Sentiment,0,1,0,10,4,0
Vertex,0,1,0,9,5,0
Voltz,0,1,0,6,3,0
objktcom,0,0,0,7,3,0
TiTi Protocol,0,1,0,9,6,0
JediSwap,0,0,0,6,4,0
Uniswap,0,1,0,14,9,0
Across,1,1,0,17,3,0
Mean Finance,0,1,0,8,4,0
Key App,0,0,2,6,3,0
ParaSpace,0,1,0,10,2,0
Layerswap,0,0,0,7,4,0
Scroll,0,1,0,16,4,0
Aboard,0,1,0,6,6,0
MUN,0,1,0,9,3,0
Via Protocol,0,1,0,7,5,0
ChainHop,0,1,0,9,3,0
Cega,0,1,0,7,4,0
MTG,0,0,1,7,3,0
Arrakis Finance,0,1,0,8,6,0
Dolomite,0,1,0,7,7,0
Deepwaters,0,1,0,7,4,0
BlueMove,0,1,0,6,7,0
OptiFi,0,1,0,8,4,0
Alpha Road,0,0,0,7,5,0
Sei,0,1,1,8,7,0
OpenChat,0,1,0,7,3,0
Shardeum,0,1,0,15,7,0
RabbitX,0,0,1,7,3,0
The Granary,0,0,0,6,4,0
Metaplex,0,1,0,10,6,0
Rage Trade,0,0,0,7,5,0
LayerZero,0,1,0,11,6,0
Pontem,0,0,0,10,7,0
Onomy Protocol,0,1,0,14,6,0
Blur,0,0,0,7,3,0
Trustless,0,1,0,12,5,0
Commodo,0,0,0,9,4,0
Stratos,0,0,0,5,3,0
Teritori,0,1,0,8,4,0
XEN Crypto,0,1,0,7,7,0
Binance Account Bound BAB,0,0,2,14,2,0
ZKEX,0,1,0,10,5,0
Helio Protocol,0,1,0,8,6,0
Karate Combat,0,1,1,4,5,0
Conic Finance,0,1,0,9,6,0
HTX,6,0,20,61,8,0
Odos,0,0,0,8,3,0
Ragnar Protocol,0,1,1,12,4,0
AllStars Digital,0,1,4,8,7,0
KuCoin,4,0,5,56,7,0
Rubic x Symbiosis x Boba,5,1,5,43,11,0
Xiroverse,0,0,1,4,4,0
Terran Coin,0,0,7,9,8,0
Quai Network,0,1,2,12,6,0
Dogechain,0,1,0,10,6,0
Portal,0,1,0,7,4,0
Cornerstone,0,0,0,10,5,0
Stride,0,1,0,12,4,0
Composable Finance,0,1,0,4,7,0
Tegro,0,0,1,5,3,0
Quix,0,0,0,5,3,0
Bungee,0,0,0,6,4,0
StormGain,0,0,2,11,5,0
LIFI,0,1,0,11,6,0
Tally Ho,0,1,0,6,4,0
Forta,0,1,0,12,8,0
Sweat Economy,0,1,2,5,6,0
ZORA,0,1,0,8,4,0
Velodrome,0,1,0,13,5,0
Chains,0,1,3,8,7,0
DAO Labs,1,0,7,35,6,0
0VIX,0,0,0,5,5,0
Bonq,0,1,0,6,5,0
Epsylon,0,0,0,5,4,0
Ledn,0,0,2,7,3,0
RealMe,0,0,2,7,3,0
Matrix,0,1,0,6,5,0
Retrograde,0,1,0,5,4,0
Hop Protocol,1,1,0,12,5,0
Gem,0,0,0,6,3,0
Lend Flare,0,1,0,5,8,0
Leap Wallet,0,1,0,11,5,0
Bridgesplit,0,0,0,5,4,0
Fractional,0,0,0,5,5,0
Nebula Protocol,0,0,0,5,6,0
Styllar,0,0,0,8,4,0
Crescent Network,0,1,0,10,6,0
Tangible,0,0,1,26,6,0
Taki,0,0,1,5,4,0
ioTube,0,0,0,6,4,0
YoBit,0,0,1,6,4,0
Void Protocol,0,0,0,7,5,0
VINCI,0,1,3,6,6,0
Element Finance,1,1,0,16,6,0
LandDAO,0,1,0,11,3,0
cheqd,0,1,0,7,10,0
Unagii,0,1,0,6,4,0
Nested,0,1,0,5,6,0
AssetMantle,0,0,0,16,7,0
Morpher,0,1,2,12,8,0
Mars Protocol,0,1,0,9,7,0
Findora,0,1,4,10,10,0
LikeCoin,0,1,0,9,6,0
Fuji DAO,0,1,0,5,5,0
Diffusion Finance,0,0,0,12,6,0
pSTAKE Finance,0,1,0,15,11,0
PartyBid,0,0,0,6,4,0
Frax,0,1,0,7,4,0
Craft Economy,0,0,0,10,3,0
X2Y2,0,1,0,7,6,0
ThetaNuts Finance,0,0,0,6,5,0
CowSwap,1,1,0,12,4,0
Orbiter Finance,0,0,0,7,5,0
GameInfinity,1,0,0,33,6,0
Katana,0,0,0,5,4,0
Stargaze,0,0,0,8,9,0
Trust Domains,0,0,0,6,6,0
Fraktal,0,1,0,8,3,0
Votium,0,0,0,7,5,0
Nomic,0,0,0,6,5,0
Friktion,0,1,0,5,4,0
WhaleFin,0,0,2,10,4,0
Sonic,0,0,0,6,5,0
Quarry,0,0,0,5,5,0
OmniFlix,0,0,0,13,6,0
Chic Cow  Bullzz,0,0,0,22,4,0
Shell Protocol,0,1,0,7,5,0
Mintbase,0,1,0,6,6,0
Legion Network,0,1,2,7,9,0
Rubicon,0,1,0,6,5,0
Glow,0,1,0,8,4,0
Coinhall,0,0,0,7,3,0
LooksRare,0,1,0,10,7,0
StellarX,0,0,0,5,3,0
Coreum,0,1,0,7,5,0
Gas DAO,0,0,0,8,7,0
Astroport,0,1,0,6,7,0
Aztec,0,1,0,11,6,0
Terra Name Service,0,0,0,7,4,0
Lum Network,0,1,0,10,6,0
Francium,0,1,0,6,6,0
ICON,0,1,0,9,10,0
Paras,0,1,0,8,6,0
IOTA,0,1,0,11,9,0
iExec,2,1,0,22,11,0
Comdex,0,1,0,7,5,0
Volmex,0,1,0,8,4,0
Hangry Animals,0,1,1,4,8,0
Argent,0,0,1,6,5,0
Limocoinswap,0,1,5,9,4,0
Socean,0,1,0,5,5,0
Terra World,0,1,0,8,7,0
Superfluid,0,1,0,5,5,0
Hardcore FC,0,1,3,8,6,0
Hedgehog Markets,0,1,0,6,5,0
Sablier,0,1,0,5,5,0
Desmos,0,1,0,15,5,0
Atrix,0,0,0,5,4,0
Instrumental Finance,0,0,0,7,4,0
TokenSets,0,1,0,7,4,0
Spintop,0,1,3,7,6,0
Phantom,0,1,0,8,3,0
DeBank,0,0,0,7,6,0
Aquarius,0,0,0,7,9,0
Saddle Finance,1,1,0,10,6,0
DexGuru,0,1,0,7,5,0
ParaSwap,1,1,0,20,7,0
Matcha,0,0,0,7,4,0
Solanart,0,0,0,5,3,0
Foundation,0,0,0,5,2,0
Digital Arms,0,1,1,6,5,0
Gro Protocol,0,1,0,7,9,0
Gridlock,1,0,3,12,5,0
Paladin,0,1,0,6,5,0
Apricot Finance,0,1,0,5,6,0
Sologenic,0,1,0,7,8,0
TerraFloki,0,1,0,10,5,0
DeFi Saver,0,0,0,5,5,0
OneOf,0,0,1,5,7,0
Zerion,0,0,0,7,7,0
BitYard,1,0,4,12,6,0
Zapper,0,1,0,6,4,0
HUMAN Protocol,0,1,1,8,9,0
Gaia EverWorld,1,0,0,11,5,0
Sportemon Go,0,1,1,4,7,0
Yield Protocol,0,1,0,5,4,0
Cozy Finance,0,1,0,5,3,0
Timeswap,0,1,0,7,5,0
Terra Land,0,0,0,7,8,0
Opyn,0,0,0,7,4,0
Symmetry,0,0,0,5,5,0
Apollo DAO,0,0,0,6,4,0
Solend,0,1,0,5,4,0
Terraswap,0,1,0,5,3,0
Talis Protocol,0,1,0,6,4,0
Flare Finance,1,1,2,13,6,0
Polymarket,0,1,0,5,5,0
zkSync,0,1,0,18,6,0
Valkyrie Protocol,0,1,0,14,4,0
Slingshot,0,0,0,6,3,0
OpenSea,0,1,0,5,6,0
Shade Protocol,0,1,0,11,5,0
Roco Finance,0,1,2,6,9,0
Nexo,0,1,2,7,10,0
Backd,0,1,0,5,7,0
Loop,0,1,0,9,3,0
Metamask,0,1,0,10,4,0
Nexus Protocol,0,1,0,7,5,0
Boba Network,0,0,0,8,5,0
Portuma,0,1,1,6,6,0
BrightID,0,1,0,15,6,0
InPoker,0,1,3,12,8,0
Adshares,0,1,2,6,7,0
Thales,0,1,0,14,7,0
Foil Network,0,1,4,8,8,0
Songbird,0,0,0,9,1,0
Tokel,0,1,0,8,9,0
BullionFX,0,0,3,10,7,0
Juno,0,1,0,8,7,0
Bitget,0,0,3,6,8,0
Remitano,0,1,2,6,5,0
Angel Protocol,0,0,0,7,6,0
StarTerra,0,1,0,22,5,0
Blockasset,0,0,1,3,6,0
SuperRare,0,1,0,9,9,0
HAI DAMO,0,1,0,4,5,0
Sunny,0,0,0,10,3,0
WEYU,1,1,4,19,5,0
dYdX,0,1,0,8,6,0
DFyn,0,1,0,7,8,0
Notional,0,1,0,7,5,0
Altair,0,0,0,6,3,0
EmiSwap,0,1,3,21,8,0
ShapeShift,1,1,2,19,10,0
THORSwap,0,0,0,5,5,0
VoltNFT,0,0,1,8,7,0
OpenOcean,0,1,0,8,8,0
NFTb,0,0,0,9,9,0
hi,0,1,1,11,7,0
TAP,0,1,3,7,8,0
Moonbet,0,1,2,4,8,0
Spar Finance,0,0,0,7,7,0
Connect Financial,0,0,0,5,5,0
Osmosis,0,0,0,14,5,0
Pylon Protocol,0,0,0,5,4,0
GemBites,0,1,1,8,4,0
EarnBet,0,0,4,12,10,0
Orion Money,0,0,0,7,6,0
Omni,0,1,3,7,6,0
EmiSwap,0,1,1,9,8,0
Instadapp,0,1,0,10,5,0
Degens Farm,0,1,0,5,7,0
Blockster,0,1,1,8,6,0
Skyward Finance,0,1,0,12,4,0
MoonEdge,0,1,3,9,5,0
NEFTiPEDiA,0,1,4,7,8,0
Thorstarter,0,1,2,7,6,0
Arweave,1,1,3,13,10,0
APENFT,0,1,0,8,7,0
EasyBake,0,0,0,6,6,0
Honeyswap,0,0,0,8,8,0
Charged Particles,0,1,0,7,8,0
BarterTrade,0,0,3,5,7,0
Ribbon Finance,0,1,0,7,5,0
ZoidPay,0,1,0,5,6,0
QiSwap,1,1,0,16,9,0
Crypto Thrills,1,0,2,12,3,0
DoRen,0,1,5,6,6,0
SolPAD,0,1,2,9,6,0
Convex Finance,0,1,0,7,7,0
RunNode,0,1,2,8,4,0
Venus,0,1,0,7,4,0
ChainX,0,1,0,7,5,0
Solanium,0,1,2,9,6,0
Impermax Finance,0,1,0,6,10,0
Avalaunch,0,0,0,5,5,0
Etherlite,0,1,0,5,6,0
Badger DAO,1,0,0,14,10,0
Binance,1,1,4,29,9,0
DeversiFi,0,0,0,6,4,0
Bribe,0,0,0,6,5,0
SORA,0,0,0,6,11,0
Maiar Exchange,0,0,0,13,3,0
HOPR,0,1,1,9,10,0
Aladdin,0,0,2,6,5,0
KLOMP,0,0,2,5,4,0
NFTMart,0,1,2,6,4,0
LOTTO,0,0,0,10,9,0
1inch,0,0,0,15,10,0
UMA,0,1,0,12,8,0
VINE Protocol,0,1,4,8,5,0
Opensea Traders,0,0,0,6,1,0
Mofi Finance,0,1,4,10,6,0
POAP,0,0,0,6,6,0
Secret Network,0,1,0,6,10,0
Hydra,0,1,2,12,7,0
My Lotto Coin,0,1,2,8,6,0
Anchor Protocol,0,1,0,7,8,0
Graphene,0,0,0,7,5,0
Utile Network,2,1,9,22,7,0
Donnie Finance,1,1,0,14,7,0
Sperax,0,1,0,9,10,0
PoolTogether,0,1,0,7,9,0
Sifchain,0,1,0,12,6,0
Neutrino Protocol,0,1,0,7,9,0
Bounce,0,1,0,5,7,0
Invest  Hodl,0,1,3,7,5,0
Furucombo,0,1,0,12,9,0
Lido,0,1,0,6,7,0
Chainge,0,0,1,11,6,0
OnX Finance,0,1,0,8,6,0
MarcoPolo Protocol,2,1,9,26,9,0
Phala Network,0,1,0,13,9,0
Mirror Protocol,0,1,0,12,9,0
Numio,0,0,2,7,5,0
Flare,0,1,0,16,3,0
SocialGood,3,1,9,30,7,0
Metex,1,0,2,14,5,0
TomoChain,0,1,0,10,10,0
Audius,0,1,1,8,10,0
SwanFinance,0,0,1,8,7,0
Plutus,0,1,3,8,9,0
DIA,0,1,0,8,8,0
Permission,0,1,2,8,10,0
Massnet,0,1,3,8,6,0
Symbol,0,1,0,10,7,0
Bitcoin Rhodium,0,1,0,9,8,0
Intexcoin,0,1,3,5,6,0
GoodDollar,0,1,3,8,6,0
ARCS,0,1,2,5,7,0
DeFiChain,1,1,2,14,11,0
Cypherium,0,1,0,8,9,0
Handshake,0,1,1,14,7,0
Pcash,0,1,1,6,1,0
SwissBorg,1,1,5,12,11,0
UniWorld,0,1,3,11,7,0
BABB,0,0,3,7,7,0
Apollo,1,1,5,11,6,0
Bitribe,0,0,5,10,6,0
HeroCoin,1,1,3,20,9,0
NowEx,0,0,4,8,3,0
DAO Maker,0,1,3,9,8,0
Escher,0,0,0,0,1,0
Bitbns,0,1,2,5,8,0
Ludena Protocol,0,1,1,12,4,0
PointPay,0,1,6,10,8,0
JUST,0,1,0,9,5,0
Relictum Pro,0,1,7,15,8,0
Storeum,1,1,7,13,6,0
StellarPayGlobal,0,1,3,9,5,0
DRK DeFi,0,1,3,8,4,0
Two Prime,0,1,2,8,3,0
PAC Global,0,1,2,6,7,0
FunderOne,0,1,4,7,4,0
Azbi,0,1,4,5,5,0
Storex,2,0,9,16,4,0
Blockpass,0,1,1,3,10,0
XinFin,0,1,2,5,9,0
1xBit,2,0,0,33,5,0
VNT Chain Labs,0,1,2,5,8,0
ICURY,0,1,3,6,4,0
Swapzone,0,0,3,7,4,0
Tandem,0,1,3,5,6,0
JDX,0,1,4,7,4,0
Global Gaming,0,1,0,7,4,0
Foodecent,0,0,4,12,5,0
NokNok,0,0,2,6,3,0
Minereum,0,1,0,8,7,0
Unochain,0,1,4,6,6,0
Social Club Rocks,0,0,1,5,2,0
KULAP,0,0,1,9,4,0
Petro,0,1,2,5,3,0
B One Payment,0,0,3,8,3,0
Personal Wager,0,0,2,9,4,0
Coalculus,0,1,0,7,6,0
Beldex,0,1,1,8,10,0
DAIN,0,1,3,8,4,0
Emirex,0,1,3,8,7,0
Bitcoin Turbo Koin Giveaway,0,1,2,6,7,0
Bancor,0,1,0,8,10,0
JIL TOKENS,0,1,4,7,6,0
KTune,2,1,8,19,4,0
ecxx,0,0,6,17,7,0
Pockero,0,1,5,10,6,0
Netspot Solutions,0,1,2,5,5,0
Limestone Network,0,1,3,6,5,0
P2P Club,0,1,3,7,6,0
BitCollar,0,1,5,8,6,0
Lino Network,0,1,2,4,7,0
Brave New Coin,0,1,2,15,7,0
Wavesbet,0,1,2,7,6,0
Riwigo,0,1,3,6,6,0
LiquidApps,0,1,2,6,9,0
BlocBox,0,1,2,5,5,0
Morpheus Network,0,1,1,7,8,0
Neo Smart Energy,0,1,4,7,6,0
Stan World,0,1,2,4,7,0
Tunefm,0,0,1,3,8,0
Swiftex,0,1,3,7,8,0
Diagon,0,1,8,11,5,0
ReFork,0,1,2,9,7,0
Cryptocells,0,0,5,6,6,0
Freelanex,0,1,3,9,8,0
Beowulf Blockchain,0,0,2,5,6,0
FreedomOptions,0,0,1,10,5,0
2Key,0,1,2,12,8,0
Crypto Tribunal,0,0,2,7,2,0
TroyTrade,0,1,2,15,5,0
LocalCoin,1,1,5,19,8,0
KAPPI,0,1,3,5,5,0
Kuvacash,0,0,2,15,3,0
ENOD,0,1,2,6,4,0
BitQuant,0,1,1,8,6,0
Binance JEX,0,0,1,7,4,0
Yezcoin,0,1,3,12,9,0
Validity,0,0,4,8,7,0
RIF,0,1,2,16,7,0
MediLiVes,0,1,5,9,8,0
Ormeus Ecosystem,0,1,5,5,7,0
INMINING,0,1,1,7,5,0
NOS Initiative,0,1,2,9,8,0
Maecenas,0,0,5,9,7,0
Nova Mining,0,1,4,8,6,0
Project WITH,0,1,3,7,4,0
Adrenaline AI,0,1,4,8,5,0
Hydro,1,1,4,16,10,0
OilWellCoin,0,1,5,7,6,0
Pynk,0,1,1,8,6,0
GCOX,1,1,5,11,4,0
Cocos BCX,0,1,1,7,9,0
Livetree,0,1,1,5,5,0
Felixo,0,0,8,8,5,0
WINk,0,1,0,9,8,0
TeleCoin,0,1,5,9,9,0
ETHplode,1,0,0,13,6,0
SpockChain,0,1,4,6,5,0
Ellcrys,0,1,6,9,8,0
Bitpanda,0,1,2,8,7,0
Arena Match,0,1,4,9,8,0
