Title,Num_Of_Prev_Drops,Whitepaper,Requirement_Count,Guide_Length,Social_Media_Count,Temp
FakeAirdrop82,1,0,0,0,2,-10
FakeAirdrop83,0,0,1,1,1,-5
FakeAirdrop84,0,0,1,4,2,2
FakeAirdrop85,1,0,0,3,2,-8
FakeAirdrop86,0,0,1,3,2,-2
FakeAirdrop87,0,0,0,2,0,-8
FakeAirdrop88,0,0,1,2,2,-10
FakeAirdrop89,1,0,1,2,1,0
FakeAirdrop90,0,0,0,1,1,-4
FakeAirdrop91,0,0,1,2,2,-9
FakeAirdrop92,0,0,0,4,2,-2
FakeAirdrop93,0,0,0,2,1,3
FakeAirdrop94,0,0,0,1,0,-4
FakeAirdrop95,0,0,0,2,1,-2
FakeAirdrop96,1,0,1,3,1,-7
FakeAirdrop97,0,0,1,2,1,-3
FakeAirdrop98,0,0,1,4,2,-5
FakeAirdrop99,0,0,1,2,1,4
FakeAirdrop100,0,0,1,3,1,-8
FakeAirdrop101,0,0,0,1,1,3
FakeAirdrop102,0,0,1,3,0,-7
FakeAirdrop103,1,0,1,3,2,4
FakeAirdrop104,0,0,0,3,1,-6
FakeAirdrop105,0,0,1,2,1,2
FakeAirdrop106,0,0,1,4,1,4
FakeAirdrop107,1,0,1,1,2,1
FakeAirdrop108,0,0,1,1,2,0
FakeAirdrop109,0,1,1,2,1,-8
FakeAirdrop110,0,0,0,1,2,-5
FakeAirdrop111,1,0,0,1,0,-9
FakeAirdrop112,0,0,0,3,1,-8
FakeAirdrop113,1,0,1,4,0,-8
FakeAirdrop114,1,1,0,1,2,4
FakeAirdrop115,0,0,1,0,0,-6
FakeAirdrop116,0,0,0,2,1,-7
FakeAirdrop117,0,1,1,3,1,-2
FakeAirdrop118,0,0,1,0,0,3
FakeAirdrop119,0,0,0,3,1,3
FakeAirdrop120,0,1,0,2,1,-5
FakeAirdrop121,0,0,1,0,1,-5
FakeAirdrop122,0,0,0,2,2,-2
FakeAirdrop123,0,0,1,4,2,4
FakeAirdrop124,0,0,1,3,0,0
FakeAirdrop125,0,1,1,3,2,-5
FakeAirdrop126,0,0,1,4,1,-7
FakeAirdrop127,0,0,0,1,2,-1
FakeAirdrop128,0,0,0,3,0,-2
FakeAirdrop129,0,0,1,3,0,-10
FakeAirdrop130,0,0,1,0,0,-5
FakeAirdrop131,0,0,0,2,2,-8
FakeAirdrop132,0,0,1,3,1,-7
FakeAirdrop133,0,0,1,2,1,-8
FakeAirdrop134,0,0,0,0,0,-5
FakeAirdrop135,0,1,0,2,0,4
FakeAirdrop136,1,0,0,3,1,-4
FakeAirdrop137,0,0,1,0,0,-2
FakeAirdrop138,1,0,1,1,2,4
FakeAirdrop139,0,0,0,0,1,-6
FakeAirdrop140,0,0,1,2,0,-2
FakeAirdrop141,1,0,0,3,0,-6
FakeAirdrop142,0,0,0,1,1,-2
FakeAirdrop143,0,0,0,1,0,1
FakeAirdrop144,1,0,0,1,2,2
FakeAirdrop145,0,0,1,4,0,-10
FakeAirdrop146,1,0,0,2,1,-4
FakeAirdrop147,0,0,0,0,2,-7
FakeAirdrop148,0,0,1,0,2,-3
FakeAirdrop149,0,0,0,4,2,-9
FakeAirdrop150,0,0,0,4,1,-9
FakeAirdrop151,0,0,0,0,2,-1
FakeAirdrop152,1,0,0,3,0,-9
FakeAirdrop153,0,0,0,4,0,0
FakeAirdrop154,0,0,1,2,0,2
FakeAirdrop155,1,0,1,3,0,-9
FakeAirdrop156,1,0,1,1,2,-4
FakeAirdrop157,0,0,0,0,0,0
FakeAirdrop158,0,0,0,1,1,3
FakeAirdrop159,0,0,1,0,0,-3
FakeAirdrop160,0,0,0,0,2,4
FakeAirdrop161,1,0,1,2,1,4
FakeAirdrop162,0,0,1,4,2,-5
FakeAirdrop163,0,0,1,3,0,-8
FakeAirdrop164,1,0,0,3,2,-10
FakeAirdrop165,1,0,1,4,1,-4
FakeAirdrop166,0,1,1,3,0,-4
FakeAirdrop167,0,0,1,3,0,-8
FakeAirdrop168,0,0,1,2,2,-3
FakeAirdrop169,0,0,1,3,0,-3
FakeAirdrop170,0,0,0,2,0,2
FakeAirdrop171,0,0,1,0,1,-3
FakeAirdrop172,0,0,1,0,1,-7
FakeAirdrop173,0,0,1,4,2,2
FakeAirdrop174,0,1,1,2,2,-3
FakeAirdrop175,0,0,0,2,2,2
FakeAirdrop176,0,0,1,1,0,1
FakeAirdrop177,0,0,0,1,1,0
FakeAirdrop178,0,0,0,2,1,3
FakeAirdrop179,0,0,1,2,0,-6
FakeAirdrop180,0,0,1,0,2,0
FakeAirdrop181,0,1,1,1,0,-1
FakeAirdrop182,1,0,0,0,0,-8
FakeAirdrop183,0,0,0,1,1,-4
FakeAirdrop184,1,0,0,4,1,-10
FakeAirdrop185,0,1,1,3,1,-4
FakeAirdrop186,0,0,0,2,2,-8
FakeAirdrop187,0,0,1,1,0,-10
FakeAirdrop188,1,0,0,3,2,2
FakeAirdrop189,0,0,0,3,2,-4
FakeAirdrop190,0,0,0,1,2,2
FakeAirdrop191,1,0,1,2,1,-5
FakeAirdrop192,0,0,0,1,2,-4
FakeAirdrop193,0,0,1,1,2,-1
FakeAirdrop194,1,0,0,0,2,-1
FakeAirdrop195,0,0,1,1,1,2
FakeAirdrop196,1,0,0,1,1,-4
FakeAirdrop197,1,0,0,1,2,-9
FakeAirdrop198,0,1,0,2,2,1
FakeAirdrop199,0,0,1,1,2,4
FakeAirdrop200,0,0,1,4,0,-1
FakeAirdrop201,0,1,1,0,1,-5
FakeAirdrop202,0,0,0,2,0,-2
FakeAirdrop203,1,0,0,3,1,-10
FakeAirdrop204,0,0,0,2,1,-9
FakeAirdrop205,0,0,0,3,0,-9
FakeAirdrop206,0,0,1,4,0,3
FakeAirdrop207,0,0,1,1,2,-8
FakeAirdrop208,0,0,0,4,2,-10
FakeAirdrop209,0,0,1,1,2,3
FakeAirdrop210,0,0,0,0,1,2
FakeAirdrop211,1,0,1,4,0,-4
FakeAirdrop212,0,0,1,1,1,-4
FakeAirdrop213,0,0,0,3,0,1
FakeAirdrop214,0,1,0,3,1,-4
FakeAirdrop215,0,0,0,3,0,3
FakeAirdrop216,0,0,0,1,1,3
FakeAirdrop217,0,0,0,2,1,-4
FakeAirdrop218,0,0,0,2,1,3
FakeAirdrop219,1,0,1,2,0,-1
FakeAirdrop220,1,0,1,3,2,-5
FakeAirdrop221,0,0,1,0,1,-8
FakeAirdrop222,0,0,0,3,0,-5
FakeAirdrop223,0,1,1,1,0,-10
FakeAirdrop224,0,0,1,1,1,-1
FakeAirdrop225,1,1,1,4,1,0
FakeAirdrop226,0,0,0,0,0,0
FakeAirdrop227,1,0,0,4,0,-4
FakeAirdrop228,0,0,0,3,2,-2
FakeAirdrop229,0,0,0,0,1,0
FakeAirdrop230,0,0,0,0,1,1
FakeAirdrop231,0,0,0,4,0,3
FakeAirdrop232,0,0,0,2,1,-5
FakeAirdrop233,0,0,1,3,2,4
FakeAirdrop234,0,0,1,3,1,0
FakeAirdrop235,1,0,1,2,0,-2
FakeAirdrop236,0,0,1,1,0,-7
FakeAirdrop237,1,0,0,0,0,-7
FakeAirdrop238,0,0,1,4,0,-2
FakeAirdrop239,0,0,0,2,1,0
FakeAirdrop240,0,0,0,1,2,4
FakeAirdrop241,0,0,0,2,2,0
FakeAirdrop242,0,0,1,1,2,2
FakeAirdrop243,0,0,0,4,0,3
FakeAirdrop244,0,0,1,2,2,1
FakeAirdrop245,0,0,0,2,1,-10
FakeAirdrop246,0,1,1,0,0,-9
FakeAirdrop247,0,0,1,4,1,-6
FakeAirdrop248,0,0,1,3,0,-6
FakeAirdrop249,0,0,1,1,2,-6
FakeAirdrop250,0,0,0,2,0,-1
FakeAirdrop251,0,0,0,0,2,-3
FakeAirdrop252,0,0,0,3,0,-5
FakeAirdrop253,0,0,0,3,2,2
FakeAirdrop254,0,0,0,4,1,4
FakeAirdrop255,0,0,0,1,2,2
FakeAirdrop256,0,0,0,1,1,-10
FakeAirdrop257,0,0,0,0,2,-2
FakeAirdrop258,0,1,1,4,0,-9
FakeAirdrop259,1,0,1,0,1,0
FakeAirdrop260,0,0,1,2,2,-8
FakeAirdrop261,0,0,0,0,0,-2
FakeAirdrop262,1,0,1,2,2,-5
FakeAirdrop263,0,1,0,0,0,-8
FakeAirdrop264,0,0,1,3,2,4
FakeAirdrop265,0,0,1,2,1,0
FakeAirdrop266,0,0,0,4,0,-4
FakeAirdrop267,0,0,1,1,0,-10
FakeAirdrop268,0,0,0,1,1,-10
FakeAirdrop269,0,0,0,2,1,-1
FakeAirdrop270,0,0,0,1,2,1
FakeAirdrop271,0,0,0,4,0,-10
FakeAirdrop272,0,0,1,2,2,4
FakeAirdrop273,0,0,0,1,1,-6
FakeAirdrop274,0,0,1,2,2,-7
FakeAirdrop275,1,0,0,3,0,-10
FakeAirdrop276,0,0,0,2,2,2
FakeAirdrop277,0,1,0,4,2,-3
FakeAirdrop278,0,0,1,0,0,-10
FakeAirdrop279,0,0,1,3,2,4
FakeAirdrop280,0,0,1,0,0,-8
FakeAirdrop281,0,0,1,0,1,-9
FakeAirdrop282,0,0,1,3,1,-2
FakeAirdrop283,0,0,0,2,0,-5
FakeAirdrop284,1,0,1,0,2,2
FakeAirdrop285,1,0,0,1,2,3
FakeAirdrop286,0,0,0,4,0,2
FakeAirdrop287,0,0,0,3,0,-7
FakeAirdrop288,1,0,0,2,2,0
FakeAirdrop289,1,0,0,2,1,1
FakeAirdrop290,1,1,0,1,2,3
FakeAirdrop291,0,1,1,2,2,-10
FakeAirdrop292,1,0,0,0,0,1
FakeAirdrop293,0,0,0,2,0,-5
FakeAirdrop294,0,0,1,1,2,-6
FakeAirdrop295,0,0,0,1,0,3
FakeAirdrop296,0,0,0,2,0,-9
FakeAirdrop297,1,0,1,0,1,2
FakeAirdrop298,0,0,1,1,0,-9
FakeAirdrop299,0,0,1,2,2,-3
FakeAirdrop300,0,0,1,1,0,2
FakeAirdrop301,0,0,0,4,2,2
FakeAirdrop302,1,0,1,0,0,-1
FakeAirdrop303,0,0,0,1,2,-10
FakeAirdrop304,0,1,0,3,0,0
FakeAirdrop305,0,0,0,0,2,-7
FakeAirdrop306,0,0,0,3,2,0
FakeAirdrop307,1,0,1,2,2,-1
FakeAirdrop308,0,0,1,0,0,-3
FakeAirdrop309,1,0,0,0,0,3
FakeAirdrop310,0,0,0,2,0,-5
FakeAirdrop311,1,0,0,0,2,-5
FakeAirdrop312,0,0,1,2,2,-8
FakeAirdrop313,1,0,0,3,1,-7
FakeAirdrop314,0,0,0,1,2,0
FakeAirdrop315,1,0,1,3,2,-7
FakeAirdrop316,0,0,0,3,0,-7
FakeAirdrop317,1,1,0,0,1,1
FakeAirdrop318,0,0,1,2,0,-9
FakeAirdrop319,1,0,0,1,2,-9
FakeAirdrop320,0,0,0,1,2,-5
FakeAirdrop321,0,0,1,3,2,-3
FakeAirdrop322,0,0,0,4,2,-4
FakeAirdrop323,0,1,0,3,2,-2
