Title,Num_Of_Prev_Drops,Whitepaper,Requirement_Count,Guide_Length,Social_Media_Count
DOGS,0,0,0,5,5
Every Finance,0,0,0,8,4
Q Protocol,0,0,0,6,3
Bool Network,0,1,0,11,5
Pentagon Games,0,0,0,8,4
Drop,0,0,0,10,3
Kamino,0,1,0,14,7
B3,0,0,0,9,2
Sui,1,1,0,16,7
4Cast,0,0,0,7,3
KOR Protocol,0,0,0,8,4
Gudchain,0,0,0,5,2
based MC,0,0,0,4,4
Defi.Money,0,0,0,12,5
Reddio,0,0,0,7,3
Spectral,0,1,0,8,5
Renzo,0,1,0,7,8
Game7,0,0,0,10,4
Moongate,1,1,0,20,5
Hourglass,0,0,0,7,3
Frenzy Farm,0,0,0,10,4
Gyroscope,0,0,0,8,4
Vessel,0,0,0,12,4
dumpy.fun,0,0,0,5,3
XenoBunny,0,0,0,11,3
YieldNest,0,0,0,6,4
Retro Bridge,1,0,0,19,4
Jupiter,0,1,0,14,6
Abstract,0,0,0,9,2
deBridge,0,1,0,17,7
LazyOtter,0,0,0,14,4
Orange Finance,0,0,0,7,3
ISC Money,0,0,0,8,3
Loop,0,0,0,7,3
Shardeum,0,0,0,11,7
Sonic Labs,0,0,0,6,6
Duper,0,0,0,14,3
KAYEN Protocol,0,0,0,6,5
Meso Finance,0,0,0,9,4
Shieldeum,0,0,0,6,3
PancakeSwap,0,0,0,11,7
Zircuit,0,0,0,17,3
Tari,0,1,0,10,7
GRVT,0,0,1,11,4
DeBank,0,0,0,13,5
Spaace,0,1,0,5,2
Mezo,0,0,0,15,3
The Vault,0,0,0,10,3
Movement,0,0,0,17,4
Shaga,0,0,0,9,3
Elixir,0,1,0,21,4
Stride,0,1,0,11,7
Zotto,0,0,0,8,3
Agent,0,0,0,17,4
Safe,0,0,0,12,7
Bracket,0,0,0,9,4
Side Protocol,0,0,0,10,5
Pontem,0,0,0,12,7
Swell,0,1,0,15,5
JuicyPerp,0,0,0,9,3
Zesh,0,1,2,4,4
Omni Network,0,1,0,10,8
Delta Trade,0,0,0,7,3
Hinkal,0,1,0,8,4
Henez Finance,0,0,0,8,4
Binance,1,1,1,41,8
Prerich,0,0,1,15,3
Acki Nacki,0,0,0,4,3
Naoris Protocol,0,1,1,8,4
StratoVM,0,0,0,10,5
Nimbora,0,0,0,9,4
Credbull,0,0,2,7,5
Super Champs,0,1,0,7,3
Mint,0,0,0,9,5
SupraOracles,0,1,2,9,5
Sanctum,0,0,0,10,6
ether.fi,0,1,0,14,8
Ancient8,0,0,0,13,4
Usual,0,0,0,16,4
BlastUP,0,0,0,10,6
Reactor Fusion,0,0,0,4,3
Merkle Trade,0,0,0,9,4
MYX,0,0,0,8,2
IBX,0,0,0,10,3
Texture,0,0,0,9,3
VaultCraft,0,0,0,14,6
Newtify,0,0,1,6,2
Lavarage,0,0,0,10,2
Scroll,0,1,0,28,4
Swords & Dungeons,0,1,0,9,4
Rain.fi,1,0,0,20,3
Macaron,0,0,0,12,5
Clone,0,1,0,8,3
Symbiotic,0,0,0,7,2
SuperBoring,0,0,0,6,4
Mocaverse,0,0,0,10,6
Allora,0,1,0,7,4
Kroma,0,1,0,25,4
Amphor,0,0,0,9,4
LI.FI,0,1,0,15,5
ZKcandy,0,0,0,14,4
Napier Finance,0,0,0,8,4
Gate.io,1,0,0,25,7
Sunrise,0,0,0,8,4
Rage Trade,0,0,0,11,4
Injera,0,1,0,14,3
PredX,0,0,0,10,4
Units,0,1,0,9,4
Camp Network,0,0,0,8,4
Rivalz Network,0,0,0,7,4
10K Dex,0,0,0,11,4
squid,0,0,0,12,3
GOAT Gaming,0,1,0,15,4
Hybrid,0,0,0,8,4
Zerion,0,0,0,9,6
Chirp,1,0,0,14,5
Zebra,0,0,0,14,4
AI Gram,0,1,0,6,5
Cog Finance,0,0,0,10,3
Union,0,0,0,9,3
StakeStone,0,0,0,12,5
Mantle,0,0,0,21,8
Superposition,0,1,0,13,3
Symmetry Trade,0,0,0,12,5
Adrena,0,0,0,6,4
Superposition Finance,0,0,0,12,3
ORA,0,0,0,10,5
GammaSwap,0,0,0,16,3
Unite,0,0,1,6,3
Echelon,0,1,0,14,3
Rho Markets,0,0,0,14,3
Rainbow,0,0,0,16,3
Zeta,0,1,0,21,7
Optopia,0,0,0,9,3
Blast,0,0,0,34,5
Summer.fi,0,0,0,14,4
Mitosis,0,0,0,13,4
Sophon,1,0,0,17,2
Voi Network,0,1,0,8,3
Sonic,0,0,0,11,3
nftperp,0,0,0,13,3
Hyperlane,0,0,0,31,4
NURI Exchange,0,0,0,14,3
f(x) Protocol,0,0,0,14,2
The Backwoods,0,0,0,23,3
Kinetix Finance,0,1,0,9,8
LayerZero,0,1,0,28,8
EigenLayer,0,1,0,25,3
Vest,0,0,0,11,3
Base,0,1,0,31,4
Koi Finance,0,0,0,6,4
100x,0,0,0,16,3
DEGEN WAR$,0,0,0,8,4
Cherry,0,0,0,9,3
Zest Protocol,0,0,0,10,5
Catalyst,0,1,0,8,4
Mercle,0,0,0,10,4
GriffinAI,0,1,0,17,4
Captain & Company,0,0,0,16,3
IoTeX,0,0,0,5,9
CoChilli,0,0,0,11,4
Fhenix,0,1,0,7,3
Avantis,0,1,0,12,3
Glyph,0,0,0,6,3
0xAstra,0,0,0,19,3
SOFA,0,0,0,12,6
ZKsync,0,1,0,17,9
Berachain,0,0,0,21,5
Die Last,0,0,0,19,3
Rabby Wallet,0,0,0,15,4
Grindery,0,0,1,11,4
Synonym,1,0,0,21,2
Taiko,0,1,0,21,8
Revert,0,1,0,10,4
Nexis Network,0,0,0,13,4
Bitflow,0,0,0,9,4
KIP Protocol,0,1,0,7,3
Dunes,0,1,0,10,4
Biokript,1,1,2,15,4
D8X,0,1,0,6,4
Fuel,0,0,0,17,5
RIZE,0,1,0,8,3
Jigsaw,0,0,0,8,3
Turtle Club,0,1,0,8,3
Rivo.xyz,0,1,0,15,3
GM Network,0,1,0,8,5
Pocket Protector,0,1,0,5,3
Olive Network,0,1,0,9,4
Zaros,0,0,0,6,4
Avarik Saga,0,1,0,12,3
Forma,0,0,0,8,3
GaiaNet,0,0,1,8,5
ALIENX,0,0,0,10,4
Hyperliquid,0,0,0,12,4
Onchain,0,0,0,8,3
Syrup,0,1,0,6,3
Sender Labs,0,0,0,9,4
Ithaca Protocol,0,0,0,16,4
Marginly,0,0,0,7,5
Anichess,0,0,0,8,4
Equation,0,0,0,8,7
Quantcheck,0,1,1,13,4
Solayer,0,1,0,22,4
Fantasy Top,0,0,0,7,3
Anzen,0,1,0,18,3
EVAA Protocol,0,0,0,7,3
Eigenpie,0,1,0,8,3
Oasis AI,0,1,0,10,3
Nexo,1,1,1,22,9
CEX.IO,10,0,2,83,5
Pencils Protocol,0,0,0,13,4
Plume Network,0,0,0,11,4
Cryptopia,0,1,1,10,6
OpenGPU Network,0,1,1,13,4
Iskra,6,1,1,65,9
Lingo,1,0,2,17,3
Gravita Protocol,0,0,0,6,4
Initia,0,0,0,20,4
Token Metrics,0,0,1,4,6
Gamium,0,1,0,13,8
Agora,0,1,1,4,4
Liquidium,0,0,0,11,3
AutoLayer,0,0,1,9,4
Vooi,0,0,0,12,4
Lyra,0,1,1,14,3
tea,0,1,0,12,6
M2,1,1,1,38,7
EYWA,0,0,1,6,4
Delabs Games,0,1,1,10,4
ThetaNuts Finance,0,1,0,11,6
World PvP,0,0,0,14,2
Thruster,0,0,0,12,3
Imaginary Ones,0,0,1,8,5
Glacier Network,0,0,0,18,4
Zyfi,0,1,0,13,4
Storm Trade,0,0,1,9,2
Phaver,1,1,0,16,6
Elfin,0,1,0,10,6
Masa,0,1,0,14,8
SpaceCatch,0,1,1,9,6
Mande Network,0,1,0,10,3
Xtremeverse,0,1,0,9,3
Fyde,0,1,0,10,4
Ekubo,0,1,0,7,5
CAGA,0,1,1,8,5
zkPass,0,0,2,8,4
My Lovely Planet,0,1,0,7,4
Tabi,0,1,0,12,5
Mode,0,1,0,24,7
Particle Network,0,1,0,17,4
XSwap,0,1,0,11,7
ZeroLend,0,1,0,9,6
Aperture Finance,0,1,0,8,7
MYTH,0,1,2,5,3
Immutable,1,1,0,22,8
Drift Protocol,0,0,0,11,4
Another-1,0,1,3,10,4
Raiinmaker,0,1,3,9,4
Blackwing,0,1,0,11,4
Saltwater Games,0,1,2,10,5
UpRock,0,1,1,9,3
LunarStorm,0,1,3,5,5
Revolving Games,0,0,0,8,3
PlanetQuest,0,1,1,12,3
Zoth,0,1,0,12,4
IntentX,0,1,0,14,3
BeFi Labs,0,0,0,5,6
Reya Network,0,0,0,13,3
Pixelverse,0,0,1,8,5
Apillon,0,1,1,7,4
Bemo,0,1,0,11,3
MilkyWay,0,0,0,10,5
Astaria,0,0,0,11,4
BSX,0,0,0,9,3
OrangeLayer,0,0,0,7,3
InceptionLRT,0,1,0,9,4
MANTRA,0,1,0,6,7
BounceBit,0,0,0,12,3
BlastOff,0,1,0,13,4
Soarchain,0,1,0,19,5
Solv Protocol,0,1,0,13,4
Planet Mojo,0,0,2,5,4
Parcl,0,1,0,19,6
DTX,0,1,0,15,3
Ultimate Digits,0,1,0,6,4
MPRO Lab,0,1,1,5,5
Juice,0,1,0,18,5
Karak,0,1,0,12,4
RedStone,0,1,2,12,5
Tensor,0,1,0,8,6
Pac Finance,0,1,0,13,3
OverTrip,0,0,2,7,2
BlockGames,0,0,0,10,6
Warden Protocol,0,1,0,11,6
Base Name Service,0,1,0,11,3
Scallop,0,1,0,11,4
SynFutures,0,1,0,15,4
StarryNift,0,1,0,12,4
Wormhole,0,1,0,11,8
Hava Coin,0,1,0,6,4
Ethena,0,1,0,20,8
Data Ownership Protocol,0,1,0,7,3
Pryzm,0,1,0,8,4
COTI,0,1,0,12,10
A51,0,1,0,9,5
Aries Markets,0,1,0,16,3
Elys Network,0,1,0,11,5
Haven1,0,1,0,13,6
Helix,0,0,0,9,4
Kelp DAO,0,1,0,13,4
mySwap,0,0,0,6,4
Braavos,0,1,0,7,5
Tortuga Finance,0,1,0,11,3
BNB Chain,0,1,0,25,9
Aptin Finance,0,1,0,10,4
UniRouter,0,1,2,5,3
Bitget Wallet,0,0,1,8,9
Aptos,0,1,0,10,8
beoble,0,1,0,10,6
Param Gaming,0,0,1,17,3
XYRO,0,0,0,9,4
Plena,0,0,1,7,6
Polyhedra Network,0,1,0,7,3
DFlow,0,1,0,10,3
zkLend,0,1,0,16,4
Defispot,0,1,0,12,3
Boson Protocol,0,1,0,10,9
Metis,0,1,0,7,11
